County,Year,Population,State
Lee County,2015,17234,South Carolina
Giles County,2011,17237,Virginia
Chester County,2019,17242,Tennessee
Humphreys County,2006,17245,Tennessee
Johnson County,2015,17258,Tennessee
Union County,2012,17264,Tennessee
Wayne County,2008,17272,Tennessee
Radford city,2024,17273,Virginia
Fentress County,2017,17279,Tennessee
Alleghany County,2005,17295,Virginia
Giles County,2010,17299,Virginia
Bristol city,2020,17303,Virginia
Patrick County,2024,17308,Virginia
Haywood County,2023,17312,Tennessee
Manassas Park city,2019,17324,Virginia
Polk County,2019,17332,Tennessee
Colonial Heights city,2014,17347,Virginia
Wayne County,2007,17351,Tennessee
Saluda County,2010,17354,South Carolina
Giles County,2009,17361,Virginia
Humphreys County,2007,17368,Tennessee
Smith County,2007,17369,Tennessee
Westmoreland County,2013,17377,Virginia
Chester County,2020,17385,Tennessee
Lee County,2014,17387,South Carolina
Johnson County,2016,17392,Tennessee
DeKalb County,2013,17410,Tennessee
Giles County,2008,17423,Virginia
Unicoi County,2005,17427,Tennessee
Wayne County,2006,17430,Tennessee
Greene County,2008,17436,Virginia
Patrick County,2023,17440,Virginia
Unicoi County,2006,17447,Tennessee
Unicoi County,2007,17466,Tennessee
Haywood County,2022,17470,Tennessee
Colonial Heights city,2015,17473,Virginia
Chester County,2021,17475,Tennessee
Fairfax city,2008,17484,Virginia
Unicoi County,2008,17485,Tennessee
Giles County,2007,17485,Virginia
Humphreys County,2008,17491,Tennessee
Manassas Park city,2018,17499,Virginia
Saluda County,2011,17502,South Carolina
Unicoi County,2009,17505,Tennessee
Wayne County,2005,17509,Tennessee
Unicoi County,2010,17524,Tennessee
Johnson County,2017,17526,Tennessee
Westmoreland County,2014,17538,Virginia
Lee County,2013,17539,South Carolina
Unicoi County,2011,17543,Tennessee
Giles County,2006,17547,Virginia
Edgefield County,2012,17556,South Carolina
Unicoi County,2012,17563,Tennessee
Bristol city,2019,17563,Virginia
Polk County,2020,17567,Tennessee
Patrick County,2022,17569,Virginia
Smith County,2008,17570,Tennessee
King William County,2019,17571,Virginia
Union County,2013,17581,Tennessee
Unicoi County,2013,17582,Tennessee
Patrick County,2020,17591,Virginia
Colonial Heights city,2016,17598,Virginia
Chester County,2022,17599,Tennessee
Unicoi County,2014,17601,Tennessee
Unicoi County,2022,17606,Tennessee
Giles County,2005,17609,Virginia
Humphreys County,2009,17614,Tennessee
Unicoi County,2021,17617,Tennessee
Sequatchie County,2024,17620,Tennessee
Unicoi County,2015,17620,Tennessee
Grainger County,2005,17629,Tennessee
Jasper County,2013,17632,South Carolina
Morgan County,2005,17635,Tennessee
Unicoi County,2016,17640,Tennessee
Saluda County,2012,17650,South Carolina
Patrick County,2021,17654,Virginia
Unicoi County,2017,17659,Tennessee
Johnson County,2018,17660,Tennessee
Haywood County,2021,17673,Tennessee
Manassas Park city,2017,17674,Virginia
Unicoi County,2018,17678,Tennessee
Fentress County,2018,17685,Tennessee
Lee County,2012,17692,South Carolina
Unicoi County,2019,17698,Tennessee
Westmoreland County,2015,17699,Virginia
Greene County,2009,17702,Virginia
Chester County,2023,17722,Tennessee
Polk County,2021,17722,Tennessee
Colonial Heights city,2017,17724,Virginia
Humphreys County,2010,17737,Tennessee
Macon County,2005,17741,Tennessee
Patrick County,2019,17746,Virginia
Smith County,2009,17772,Tennessee
Johnson County,2019,17794,Tennessee
Saluda County,2013,17798,South Carolina
Polk County,2022,17799,Tennessee
Bristol city,2018,17801,Virginia
DeKalb County,2014,17804,Tennessee
New Kent County,2015,17807,Virginia
Unicoi County,2023,17812,Tennessee
Patrick County,2018,17824,Virginia
Haywood County,2020,17825,Tennessee
Lee County,2011,17845,South Carolina
Colonial Heights city,2018,17849,Virginia
Manassas Park city,2016,17849,Virginia
Morgan County,2006,17854,Tennessee
Humphreys County,2011,17860,Tennessee
Westmoreland County,2016,17860,Virginia
Unicoi County,2024,17872,Tennessee
Unicoi County,2020,17873,Tennessee
Chester County,2024,17876,Tennessee
Waynesboro city,2005,17878,Virginia
Union County,2014,17897,Tennessee
Southampton County,2022,17897,Virginia
Patrick County,2017,17902,Virginia
King William County,2020,17922,Virginia
Southampton County,2024,17941,Virginia
Saluda County,2014,17946,South Carolina
Southampton County,2020,17951,Virginia
Greene County,2010,17967,Virginia
Smith County,2010,17973,Tennessee
Colonial Heights city,2019,17975,Virginia
Southampton County,2019,17977,Virginia
Patrick County,2016,17980,Virginia
Southampton County,2018,17982,Virginia
Humphreys County,2012,17983,Tennessee
Southampton County,2017,17987,Virginia
Southampton County,2016,17992,Virginia
Johnson County,2020,17994,Tennessee
Lee County,2010,17997,South Carolina
Southampton County,2015,17997,Virginia
Southampton County,2023,18000,Virginia
Southampton County,2014,18001,Virginia
Southampton County,2013,18006,Virginia
Southampton County,2012,18011,Virginia
Southampton County,2011,18016,Virginia
Grainger County,2006,18019,Tennessee
Haywood County,2019,18020,Tennessee
Southampton County,2010,18021,Virginia
Westmoreland County,2017,18021,Virginia
Fairfax city,2009,18023,Virginia
Manassas Park city,2015,18024,Virginia
Southampton County,2009,18025,Virginia
Southampton County,2021,18028,Virginia
Southampton County,2008,18030,Virginia
Southampton County,2007,18035,Virginia
Bristol city,2017,18039,Virginia
Southampton County,2006,18040,Virginia
Johnson County,2022,18044,Tennessee
Southampton County,2005,18045,Virginia
Goochland County,2012,18050,Virginia
Patrick County,2015,18058,Virginia
Johnson County,2021,18061,Tennessee
Polk County,2023,18066,Tennessee
Morgan County,2007,18074,Tennessee
Fentress County,2019,18091,Tennessee
Saluda County,2015,18094,South Carolina
Humphreys County,2013,18106,Tennessee
Patrick County,2014,18136,Virginia
Hampton County,2022,18147,South Carolina
Lee County,2009,18150,South Carolina
Colonial Heights city,2020,18166,Virginia
Hampton County,2023,18167,South Carolina
Waynesboro city,2006,18170,Virginia
Hampton County,2024,18172,South Carolina
Smith County,2011,18174,Tennessee
Westmoreland County,2018,18182,Virginia
DeKalb County,2015,18198,Tennessee
Manassas Park city,2014,18200,Virginia
Haywood County,2018,18202,Tennessee
Colonial Heights city,2021,18207,Virginia
Union County,2015,18214,Tennessee
Patrick County,2013,18214,Virginia
Humphreys County,2014,18229,Tennessee
Greene County,2011,18233,Virginia
Macon County,2006,18241,Tennessee
Saluda County,2016,18242,South Carolina
King William County,2021,18249,Virginia
Hampton County,2021,18259,South Carolina
Colonial Heights city,2022,18265,Virginia
Bristol city,2016,18277,Virginia
Patrick County,2012,18292,Virginia
Morgan County,2008,18293,Tennessee
Lee County,2008,18303,South Carolina
Polk County,2024,18338,Tennessee
Westmoreland County,2019,18343,Virginia
Humphreys County,2015,18352,Tennessee
Patrick County,2011,18370,Virginia
Manassas Park city,2013,18375,Virginia
Johnson County,2023,18376,Tennessee
Smith County,2012,18376,Tennessee
Haywood County,2017,18383,Tennessee
Saluda County,2017,18390,South Carolina
Grainger County,2007,18410,Tennessee
Colonial Heights city,2023,18446,Virginia
Patrick County,2010,18448,Virginia
Lee County,2007,18456,South Carolina
Waynesboro city,2007,18462,Virginia
Humphreys County,2016,18475,Tennessee
Hampton County,2019,18493,South Carolina
Greene County,2012,18499,Virginia
Westmoreland County,2020,18505,Virginia
Johnson County,2024,18506,Tennessee
Morgan County,2009,18512,Tennessee
Bristol city,2015,18515,Virginia
Hampton County,2020,18525,South Carolina
Patrick County,2009,18526,Virginia
King William County,2022,18528,Virginia
Union County,2016,18531,Tennessee
Fentress County,2020,18534,Tennessee
Saluda County,2018,18538,South Carolina
Edgefield County,2013,18548,South Carolina
Manassas Park city,2012,18550,Virginia
Fairfax city,2010,18561,Virginia
Haywood County,2016,18565,Tennessee
Hampton County,2018,18573,South Carolina
Smith County,2013,18577,Tennessee
DeKalb County,2016,18593,Tennessee
Humphreys County,2017,18598,Tennessee
Patrick County,2008,18604,Virginia
Lee County,2006,18608,South Carolina
Buchanan County,2024,18632,Virginia
Hampton County,2017,18653,South Carolina
Colonial Heights city,2024,18674,Virginia
Patrick County,2007,18682,Virginia
Saluda County,2019,18686,South Carolina
Westmoreland County,2022,18704,Virginia
Humphreys County,2018,18721,Tennessee
Manassas Park city,2011,18725,Virginia
Morgan County,2010,18731,Tennessee
Hampton County,2016,18732,South Carolina
Macon County,2007,18741,Tennessee
Haywood County,2015,18747,Tennessee
Bristol city,2014,18753,Virginia
Waynesboro city,2008,18754,Virginia
Patrick County,2006,18760,Virginia
Lee County,2005,18761,South Carolina
Greene County,2013,18764,Virginia
Westmoreland County,2021,18768,Virginia
Smith County,2014,18778,Tennessee
Grainger County,2008,18800,Tennessee
Hampton County,2015,18812,South Carolina
Patrick County,2005,18838,Virginia
Fentress County,2021,18839,Tennessee
Humphreys County,2019,18844,Tennessee
Union County,2017,18847,Tennessee
New Kent County,2016,18850,Virginia
Goochland County,2013,18886,Virginia
Hampton County,2014,18892,South Carolina
